//hotelName;address;price;rating;AC;freeParking;freeWifi;complementaryBreakfast;review;

Hotel Abkhazia Sokhumi; Sukhumi; Rs 5926; 4.31; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Lilongwe Hotel; Lilongwe; Rs 5747; 4.18; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Carcosa Seri Negara; Kuala Lumpur; Rs 5280; 3.84; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Cathay Hotel; Penang; Rs 6146; 4.47; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Duta Grand Hyatt; Kuala Lumpur; Rs 6531; 4.75; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Eastern & Oriental Hotel; Penang; Rs 5211; 3.79; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
The Federal Kuala Lumpur; Kuala Lumpur; Rs 6531; 4.75; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
First World Hotel; Genting Highlands; Rs 6586; 4.79; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Four Points by Sheraton; Kuching; Rs 6105; 4.44; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Genting Hotel; Genting Highlands; Rs 6187; 4.5; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
JW Marriott Kuala Lumpur; Kuala Lumpur; Rs 6242; 4.54; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Maxims Hotel; Genting Highlands; Rs 5376; 3.91; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Miri Marriott Resort & Spa; Miri; Rs 4881; 3.55; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Renaissance Kota Bharu Hotel; Kota Bharu; Rs 6806; 4.95; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Renaissance Kuala Lumpur Hotel; Kuala Lumpur; Rs 6352; 4.62; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Ritz-Carlton Kuala Lumpur; Kuala Lumpur; Rs 5183; 3.77; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Shangri-La Kuala Lumpur; Kuala Lumpur; Rs 3822; 2.78; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Tanjung Sanctuary; Langkawi; Rs 4235; 3.08; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Huvafen Fushi; North Malé Atoll; Rs 4441; 3.23; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Niyama; south-west Dhaalu Atoll; Rs 6297; 4.58; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Paradise Island Resort; Malé; Rs 6132; 4.46; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Traders Hotel; Malé; Rs 4303; 3.13; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Auberge Hitikau; Ua Huka; Rs 6627; 4.82; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Agua Caliente Casino and Hotel; Tijuana; Rs 4537; 3.3; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Fairmont Acapulco Princess; Acapulco; Rs 4977; 3.62; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Golden Parnassus; Cancún; Rs 5101; 3.71; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Riviera del Pacífico; Ensenada; Rs 6146; 4.47; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Melody Maker Cancún; Cancún; Rs 5733; 4.17; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Gran Hotel of Mexico; Mexico City; Rs 6132; 4.46; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Mongolia; Ulaanbaatar; Rs 6201; 4.51; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Ulaanbaatar Hotel; Ulaanbaatar; Rs 4620; 3.36; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hilton Podgorica Crna Gora; Podgorica; Rs 6531; 4.75; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Mediteran; Ulcinj; Rs 4578; 3.33; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Splendid; Bečići; Rs 6737; 4.9; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Continental; Tangier; Rs 6338; 4.61; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Grande Hotel Beira; Beira; Rs 6545; 4.76; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Windhoek Country Club Resort; Windhoek; Rs 4496; 3.27; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Menen Hotel; Anibare Bay; Rs 4386; 3.19; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
OD-N-Aiwo Hotel; Aiwo; Rs 4881; 3.55; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Kathmandu; Kathmandu; Rs 4028; 2.93; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Shanker; Kathmandu; Rs 4785; 3.48; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
American Hotel; Amsterdam; Rs 6269; 4.56; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Amsterdam Hilton Hotel; Amsterdam; Rs 5142; 3.74; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel de Bilderberg; Oosterbeek; Rs 4785; 3.48; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Karel V; Utrecht; Rs 6173; 4.49; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel Opduin; De Koog; Rs 4551; 3.31; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel de l'Europe; Amsterdam; Rs 5665; 4.12; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel de Wereld; Wageningen; Rs 4730; 3.44; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel New York; Rotterdam; Rs 5238; 3.81; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Pulitzer; Amsterdam; Rs 4812; 3.5; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
InterContinental Amstel Amsterdam; Amsterdam; Rs 4578; 3.33; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Landhuishotel Bloemenbeek; De Lutte; Rs 5431; 3.95; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Lauswolt; Beetsterzwaag; Rs 5486; 3.99; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Lloyd Hotel; Amsterdam; Rs 4152; 3.02; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
NH Grand Hotel Krasnapolsky; Amsterdam; Rs 5500; 4.0; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Oud Poelgeest; Oegstgeest; Rs 6448; 4.69; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Swissôtel Amsterdam; Amsterdam; Rs 4372; 3.18; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Townhouse Designhotel Maastricht; Maastricht; Rs 4138; 3.01; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
YOTEL; Amsterdam; Rs 3753; 2.73; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Eagles Nest; Bay of Islands; Rs 6682; 4.86; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Eichardt's Hotel; Queenstown; Rs 4221; 3.07; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Excelsior Hotel; Christchurch; Rs 3740; 2.72; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Grand Hotel; Auckland; Rs 5651; 4.11; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Langham Hotel; Auckland; Rs 5788; 4.21; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Metropolis; Auckland; Rs 5761; 4.19; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Museum Hotel de Wheels; Wellington; Rs 6435; 4.68; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Princes Wharf; Auckland; Rs 5211; 3.79; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Skycity Auckland; Auckland; Rs 5252; 3.82; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
The Aitutaki Lagoon Resort & Spa; Aitutaki; Rs 4991; 3.63; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Luana Liki Hotel; Nukunonu; Rs 5307; 3.86; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Santa María de Ostuma; Matagalpa; Rs 4950; 3.6; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Selva Negra Mountain Resort; Matagalpa; Rs 6338; 4.61; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Taguelmoust; Agadez; Rs 4743; 3.45; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Chongnyon Hotel; P'yongyang; Rs 5623; 4.09; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Kaesong Folk Hotel; Kaesong; Rs 6600; 4.8; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Koryo Hotel; P'yongyang; Rs 4001; 2.91; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Ryugyong Hotel; P'yongyang; Rs 6641; 4.83; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Yanggakdo Hotel; P'yongyang; Rs 3987; 2.9; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Fru Haugans Hotel; Mosjøen; Rs 4083; 2.97; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel; Oslo; Rs 4317; 3.14; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Holmenkollen Park Hotel Rica; Holmenkollen; Rs 6572; 4.78; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Alexandra; Loen; Rs 6490; 4.72; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Bristol; Oslo; Rs 5390; 3.92; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Continental; Oslo; Rs 5472; 3.98; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Royal Christiania; Oslo; Rs 4592; 3.34; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Kongsvoll; Drivdalen valley; Rs 4606; 3.35; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Oslo Plaza; Oslo; Rs 5898; 4.29; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Radisson SAS Scandinavia Hotel Oslo; Oslo; Rs 5788; 4.21; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Refsnes Gods; near Moss; Rs 6338; 4.61; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Rica Seilet Hotel; Molde; Rs 4262; 3.1; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
The Chedi Muscat; Muscat; Rs 4111; 2.99; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hyatt Muscat Hotel; Muscat; Rs 5348; 3.89; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Palau Royal Resort; Koror; Rs 6778; 4.93; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Al Deira Hotel; Gaza; Rs 6352; 4.62; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Gaza Museum of Archaeology; Gaza; Rs 5280; 3.84; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Mövenpick Hotel Ramallah; Ramallah; Rs 4083; 2.97; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Trump Ocean Club International Hotel and Tower; Panama City; Rs 5568; 4.05; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Islander Hotel; Port Moresby; Rs 4977; 3.62; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Bolivar; Lima; Rs 4345; 3.16; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Monasterio; Cusco; Rs 3822; 2.78; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Paracas; Pisco; Rs 6008; 4.37; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Miraflores Park Hotel; Lima; Rs 5032; 3.66; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Sheraton Doha Resort & Convention Hotel; Doha; Rs 4303; 3.13; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Dacia Hotel; Satu Mare; Rs 4977; 3.62; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hôtel des Mille Collines; Kigali; Rs 6311; 4.59; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Cheval Blanc; St Barths; Rs 6737; 4.9; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Eden Rock; St Barths; Rs 4056; 2.95; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Makkah Clock Royal Tower Hotel; Mecca; Rs 5018; 3.65; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
South Beach; Singapore; Rs 3960; 2.88; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel Union; Ljubljana; Rs 5307; 3.86; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Mokrice Castle; Jesenice; Rs 4441; 3.23; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Otočec Castle; Otočec; Rs 4840; 3.52; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Podsmreka Castle; Podsmreka pri Višnji Gori; Rs 5307; 3.86; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Muna Hotel; Mogadishu; Rs 4138; 3.01; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
The Oyster Box; Umhlanga; Rs 5376; 3.91; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Sun City; North West; Rs 6792; 4.94; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Dragon Hill Lodge; Seoul; Rs 6311; 4.59; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Koreana Hotel; Seoul; Rs 5678; 4.13; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Alpine Hotel; Nuwara Eliya; Rs 4578; 3.33; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Amangalla; Galle; Rs 5005; 3.64; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Bandarawela Hotel; Bandarawela; Rs 4180; 3.04; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Blue Water Hotel; Wadduwa; Rs 6297; 4.58; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Galle Face Hotel; Colombo; Rs 4537; 3.3; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Galle Fort Hotel; Galle; Rs 4001; 2.91; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Hotel; Nuwara Eliya; Rs 6710; 4.88; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Grand Hyatt; Colombo; Rs 4551; 3.31; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Grand Oriental Hotel; Colombo; Rs 3877; 2.82; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Heritance Kandalama; Dambulla; Rs 6393; 4.65; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Kandy House; Kandy; Rs 4977; 3.62; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
The Kingsbury Hotel; Colombo; Rs 6311; 4.59; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Lighthouse Hotel; Galle; Rs 3767; 2.74; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
The Manor House; Kandy; Rs 5005; 3.64; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Mount Lavinia Hotel; Mount Lavinia; Rs 4083; 2.97; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Queen's Hotel; Kandy; Rs 6531; 4.75; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Saman Villas; Aturuwella; Rs 6214; 4.52; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Acropole Hotel; Khartoum; Rs 4551; 3.31; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Meridien Hotel; Khartoum; Rs 4097; 2.98; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Moony; Khartoum; Rs 6077; 4.42; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Royal Swazi Sun Hotel; Ezulwini valley; Rs 6008; 4.37; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hôtel; Stockholm; Rs 6228; 4.53; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Badrutt's Palace Hotel; St Moritz; Rs 5843; 4.25; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Beau-Rivage; Geneva; Rs 5266; 3.83; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Beau-Rivage Palace; Lausanne; Rs 6627; 4.82; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Bellevue Palace; Bern; Rs 4606; 3.35; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Les Trois Rois; Basel; Rs 6613; 4.81; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel Dolder; Zurich; Rs 6723; 4.89; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel Kronenhof; Pontresina; Rs 5527; 4.02; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Helmhaus; Zurich; Rs 6256; 4.55; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hôtel Splendid; Lake Geneva; Rs 6201; 4.51; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Kurhaus Bergün; Bergün; Rs 6737; 4.9; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Monte Rosa Hotel; Zermatt; Rs 5885; 4.28; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Null Stern Hotel; Teufen; Rs 5720; 4.16; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Posthotel Rössli; Gstaad; Rs 6572; 4.78; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Riders Palace; Laax; Rs 6613; 4.81; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Swissôtel Zürich; Zürich; Rs 6476; 4.71; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Therme Vals; Graubünden; Rs 4235; 3.08; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Waldhaus Flims; Flims; Rs 5060; 3.68; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Baron Hotel; Aleppo; Rs 5417; 3.94; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Beit al-Mamlouka Hotel; Damascus; Rs 3712; 2.7; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Blue Tower Hotel; Damascus; Rs 6833; 4.97; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Four Seasons Hotel Damascus; Damascus; Rs 5830; 4.24; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Sheraton Aleppo Hotel; Aleppo; Rs 6627; 4.82; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Mandarin Oriental; Bangkok; Rs 5142; 3.74; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
2 Fevrier Sofitel Hotel; Lomé; Rs 4991; 3.63; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Best Western The President Hotel Istanbul; Istanbul; Rs 5170; 3.76; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Çırağan Palace; Istanbul; Rs 6228; 4.53; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Concorde De Luxe Resort; Antalya; Rs 4331; 3.15; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Crowne Plaza İzmir; İzmir; Rs 4015; 2.92; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hilton Istanbul Bosphorus; Istanbul; Rs 5280; 3.84; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hilton Izmir; İzmir; Rs 4056; 2.95; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Yeşil Ev; Istanbul; Rs 5596; 4.07; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Mardan Palace; Antalya; Rs 6228; 4.53; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Pera Palace Hotel; Istanbul; Rs 6283; 4.57; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Sheraton Ankara; Ankara; Rs 4771; 3.47; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Soğukçeşme Sokağı; Istanbul; Rs 5733; 4.17; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Sultanahmet Jail; Istanbul; Rs 4070; 2.96; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Tokatlıyan Hotels; Istanbul; Rs 5830; 4.24; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Vaiaku Lagi Hotel; Funafuti; Rs 4372; 3.18; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Atlantis; The Palm; Rs 6792; 4.94; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Belmont House; Montevideo; Rs 4716; 3.43; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Casapueblo; Punta del Este; Rs 5720; 4.16; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Four Seasons Resort Carmelo; Uruguay; Rs 5733; 4.17; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Carrasco; Montevideo; Rs 6091; 4.43; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Radisson Montevideo Victoria Plaza Hotel; Montevideo; Rs 6723; 4.89; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel And Casino; Port Vila; Rs 3960; 2.88; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Alba Caracas; Caracas; Rs 5596; 4.07; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Brinks Hotel; Ho Chi Minh City; Rs 4510; 3.28; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Caravelle Hotel; Ho Chi Minh City; Rs 4015; 2.92; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hang Nga guesthouse; Da Lat; Rs 4578; 3.33; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hilton Hanoi Opera Hotel; Hanoi; Rs 5541; 4.03; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Continental; Ho Chi Minh City; Rs 4730; 3.44; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Majestic; Ho Chi Minh City; Rs 3973; 2.89; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
InterContinental Nha Trang; Nha Trang; Rs 5073; 3.69; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Novotel Nha Trang; Nha Trang; Rs 4730; 3.44; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Rex Hotel; Ho Chi Minh City; Rs 6173; 4.49; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Sofitel Dalat Palace; Da Lat; Rs 4702; 3.42; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Sofitel Metropole; Hanoi; Rs 3973; 2.89; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
InterContinental Danang Sun Peninsula Resort; Da Nang; Rs 6352; 4.62; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Arabia Felix Hotel; Sana'a; Rs 6228; 4.53; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Gold Mohur Hotel; Aden; Rs 5403; 3.93; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Sultan Palace Hotel; Sana'a; Rs 6283; 4.57; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
New Ambassador; Harare; Rs 4908; 3.57; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
